Arrests - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2005,197869,Appalachian State University,1,Main Campus,14653,1,35,80
2005,198464,East Carolina University,1,East Carolina University,23164,3,34,12
2005,198464,East Carolina University,2,East Carolina University Brody School of Medicine,23164,0,0,0
2005,198507,Elizabeth City State University,1,Elizabeth City State University,2664,2,26,10
2005,198543,Fayetteville State University,1,Fayetteville State University,6072,2,0,0
2005,199102,North Carolina A & T State University,1,North Carolina A&T State University,11103,39,142,11
2005,199157,North Carolina Central University,1,North Carolina Central University,8219,5,6,2
2005,199193,North Carolina State University at Raleigh,1,Main Campus,30148,2,5,2
2005,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3499,1,26,30
2005,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27276,6,73,43
2005,199139,University of North Carolina at Charlotte,1,Main Campus,20772,10,35,5
2005,199148,University of North Carolina at Greensboro,1,Main Campus,16147,4,48,60
2005,199281,University of North Carolina at Pembroke,1,Main Campus,5632,3,2,6
2005,199184,University of North Carolina School of the Arts,1,Main Campus,829,1,1,0
2005,199218,University of North Carolina Wilmington,1,Main Campus,11839,4,3,12
2005,200004,Western Carolina University,1,Main Campus,8665,5,52,60
2005,199999,Winston-Salem State University,1,WSSU Main Campus,5566,4,11,9
2006,197869,Appalachian State University,1,Main Campus,15117,3,42,160
2006,198464,East Carolina University,1,East Carolina University,24351,8,48,126
2006,198464,East Carolina University,2,East Carolina University Brody School of Medicine,24351,0,0,0
2006,198507,Elizabeth City State University,1,Elizabeth City State University,2681,5,19,9
2006,198543,Fayetteville State University,1,Fayetteville State University,6301,0,0,0
2006,199102,North Carolina A & T State University,1,North Carolina A&T State University,11098,29,50,3
2006,199157,North Carolina Central University,1,North Carolina Central University,8675,12,30,10
2006,199193,North Carolina State University at Raleigh,1,Main Campus,31130,0,1,2
2006,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3639,1,14,54
2006,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27717,9,83,52
2006,199139,University of North Carolina at Charlotte,1,Main Campus,21519,5,28,9
2006,199148,University of North Carolina at Greensboro,1,Main Campus,16872,4,59,63
2006,199281,University of North Carolina at Pembroke,1,Main Campus,5827,2,4,5
2006,199184,University of North Carolina School of the Arts,1,Main Campus,845,1,0,0
2006,199218,University of North Carolina Wilmington,1,Main Campus,12098,4,9,17
2006,200004,Western Carolina University,1,Main Campus,8861,3,29,43
2006,199999,Winston-Salem State University,1,WSSU Main Campus,5650,7,12,2
2007,197869,Appalachian State University,1,Main Campus,15871,1,86,281
2007,198464,East Carolina University,1,East Carolina University,25990,14,55,424
2007,198464,East Carolina University,2,East Carolina University Brody School of Medicine,25990,0,0,1
2007,198507,Elizabeth City State University,1,Elizabeth City State University,3061,3,6,2
2007,198543,Fayetteville State University,1,Fayetteville State University,6692,1,0,0
2007,199102,North Carolina A & T State University,1,North Carolina A&T State University,10498,1,5,6
2007,199157,North Carolina Central University,1,North Carolina Central University,8383,4,31,9
2007,199193,North Carolina State University at Raleigh,1,Main Campus,31802,11,31,107
2007,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3701,1,19,32
2007,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28136,0,20,33
2007,199139,University of North Carolina at Charlotte,1,Main Campus,22388,7,18,10
2007,199148,University of North Carolina at Greensboro,1,Main Campus,18627,12,87,89
2007,199281,University of North Carolina at Pembroke,1,Main Campus,5937,3,9,11
2007,199184,University of North Carolina School of the Arts,1,Main Campus,867,1,2,1
2007,199218,University of North Carolina Wilmington,1,Main Campus,12180,3,8,8
2007,200004,Western Carolina University,1,Main Campus,9056,9,37,83
2007,199999,Winston-Salem State University,1,WSSU Main Campus,5870,12,28,17
2008,197869,Appalachian State University,1,Main Campus,16610,1,90,136
2008,198464,East Carolina University,1,East Carolina University,27677,11,59,303
2008,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27677,0,1,0
2008,198507,Elizabeth City State University,1,Elizabeth City State University,3104,5,2,0
2008,198543,Fayetteville State University,1,Fayetteville State University,6217,1,0,0
2008,199102,North Carolina A & T State University,1,North Carolina A&T State University,10388,6,19,7
2008,199157,North Carolina Central University,1,North Carolina Central University,8035,6,54,8
2008,199193,North Carolina State University at Raleigh,1,Main Campus,32872,5,63,106
2008,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3629,2,8,21
2008,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28567,4,41,85
2008,199139,University of North Carolina at Charlotte,1,Main Campus,23300,10,19,2
2008,199148,University of North Carolina at Greensboro,1,Main Campus,19976,7,52,116
2008,199281,University of North Carolina at Pembroke,1,Main Campus,6303,5,3,12
2008,199184,University of North Carolina School of the Arts,1,Main Campus,879,1,2,5
2008,199218,University of North Carolina Wilmington,1,Main Campus,12643,1,15,4
2008,200004,Western Carolina University,1,Main Campus,9050,0,25,32
2008,199999,Winston-Salem State University,1,WSSU Main Campus,6442,5,23,4
2009,197869,Appalachian State University,1,Main Campus,16968,2,151,149
2009,198464,East Carolina University,1,East Carolina University,27654,8,49,133
2009,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27654,0,0,0
2009,198507,Elizabeth City State University,1,Elizabeth City State University,3264,1,13,0
2009,198543,Fayetteville State University,1,Fayetteville State University,6283,1,3,0
2009,199102,North Carolina A & T State University,1,North Carolina A&T State University,10614,9,19,7
2009,199157,North Carolina Central University,1,North Carolina Central University,8587,5,22,2
2009,199193,North Carolina State University at Raleigh,1,Main Campus,33819,12,40,114
2009,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3897,1,16,17
2009,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28916,3,41,128
2009,199139,University of North Carolina at Charlotte,1,Main Campus,24701,10,6,10
2009,199148,University of North Carolina at Greensboro,1,Main Campus,21306,8,68,79
2009,199281,University of North Carolina at Pembroke,1,Main Campus,6661,0,5,7
2009,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,5,1
2009,199218,University of North Carolina Wilmington,1,Main Campus,12924,3,3,2
2009,200004,Western Carolina University,1,Main Campus,9429,0,20,13
2009,199999,Winston-Salem State University,1,WSSU Main Campus,6427,11,38,14
2010,197869,Appalachian State University,1,Main Campus,17222,0,123,113
2010,197869,Appalachian State University,2,NCCET,17222,0,0,0
2010,197869,Appalachian State University,3,ASU Center at Hickory,17222,0,0,0
2010,197869,Appalachian State University,4,ASU Center at Caldwell,17222,0,0,0
2010,197869,Appalachian State University,5,ASU Center at Burke,17222,0,0,0
2010,198464,East Carolina University,1,East Carolina University,27783,4,82,92
2010,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27783,0,1,0
2010,198507,Elizabeth City State University,1,Elizabeth City State University,3307,6,3,0
2010,198543,Fayetteville State University,1,Fayetteville State University,5781,3,8,2
2010,199102,North Carolina A & T State University,1,North Carolina A&T State University,10795,12,38,13
2010,199157,North Carolina Central University,1,North Carolina Central University,8645,2,6,4
2010,199193,North Carolina State University at Raleigh,1,Main Campus,34376,2,32,45
2010,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3967,0,10,7
2010,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29390,10,32,70
2010,199139,University of North Carolina at Charlotte,1,Main Campus,25063,9,21,7
2010,199148,University of North Carolina at Greensboro,1,Main Campus,18771,5,78,96
2010,199281,University of North Carolina at Pembroke,1,Main Campus,6944,2,5,0
2010,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,3,11
2010,199218,University of North Carolina Wilmington,1,Main Campus,13071,1,11,13
2010,200004,Western Carolina University,1,Main Campus,9407,3,34,59
2010,199999,Winston-Salem State University,1,WSSU Main Campus,6333,1,17,2
2011,197869,Appalachian State University,1,Main Campus,17344,4,140,175
2011,197869,Appalachian State University,2,NCCET,17344,0,0,0
2011,197869,Appalachian State University,3,ASU Center at Hickory,17344,0,0,0
2011,197869,Appalachian State University,4,ASU Center at Caldwell,17344,0,0,0
2011,197869,Appalachian State University,5,ASU Center at Burke,17344,0,0,0
2011,198464,East Carolina University,1,East Carolina University,27386,5,122,160
2011,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27386,0,1,0
2011,198507,Elizabeth City State University,1,Elizabeth City State University,2930,5,3,1
2011,198543,Fayetteville State University,1,Fayetteville State University,5930,3,5,1
2011,199102,North Carolina A & T State University,1,North Carolina A&T State University,10881,8,29,14
2011,199157,North Carolina Central University,1,North Carolina Central University,8359,2,11,4
2011,199193,North Carolina State University at Raleigh,1,Main Campus,34767,6,52,37
2011,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3863,0,3,6
2011,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29137,3,37,35
2011,199139,University of North Carolina at Charlotte,1,Main Campus,25277,6,23,11
2011,199148,University of North Carolina at Greensboro,1,Main Campus,18627,7,76,115
2011,199281,University of North Carolina at Pembroke,1,Main Campus,6251,2,12,14
2011,199184,University of North Carolina School of the Arts,1,Main Campus,893,2,4,8
2011,199218,University of North Carolina Wilmington,1,Main Campus,13145,1,11,5
2011,200004,Western Carolina University,1,Main Campus,9352,3,31,55
2011,199999,Winston-Salem State University,1,WSSU Main Campus,6163,2,9,5
2012,197869,Appalachian State University,1,Main Campus,17589,1,133,168
2012,197869,Appalachian State University,4,ASU Center at Caldwell,17589,0,0,0
2012,198464,East Carolina University,1,East Carolina University,26947,6,109,165
2012,198464,East Carolina University,2,East Carolina University Brody School of Medicine,26947,0,0,0
2012,198507,Elizabeth City State University,1,Elizabeth City State University,2878,0,0,1
2012,198543,Fayetteville State University,1,Fayetteville State University,6060,10,18,0
2012,199102,North Carolina A & T State University,1,North Carolina A&T State University,10636,6,28,10
2012,199157,North Carolina Central University,1,North Carolina Central University,8604,3,53,9
2012,199193,North Carolina State University at Raleigh,1,Main Campus,34340,3,62,5
2012,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3751,1,12,9
2012,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29278,3,52,25
2012,199139,University of North Carolina at Charlotte,1,Main Campus,26232,9,79,98
2012,199148,University of North Carolina at Greensboro,1,Main Campus,18516,3,96,66
2012,199281,University of North Carolina at Pembroke,1,Main Campus,6269,7,71,26
2012,199184,University of North Carolina School of the Arts,1,Main Campus,880,0,1,5
2012,199218,University of North Carolina Wilmington,1,Main Campus,13733,1,17,9
2012,200004,Western Carolina University,1,Main Campus,9608,1,11,30
2012,199999,Winston-Salem State University,1,WSSU Main Campus,5689,0,12,2
