,Arrests - On-campus Student Housing Facilities,,,,,,,,
ID,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
1,2005,197869,Appalachian State University,1,Main Campus,14653,1,5,22
2,2005,198464,East Carolina University,1,East Carolina University,23164,2,33,12
3,2005,198507,Elizabeth City State University,1,Elizabeth City State University,2664,0,0,0
4,2005,198543,Fayetteville State University,1,Fayetteville State University,6072,0,0,0
5,2005,199102,North Carolina A & T State University,1,North Carolina A&T State University,11103,4,63,6
6,2005,199157,North Carolina Central University,1,North Carolina Central University,8219,2,2,0
7,2005,199193,North Carolina State University at Raleigh,1,Main Campus,30148,0,1,0
8,2005,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3499,0,11,23
9,2005,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27276,3,22,12
10,2005,199139,University of North Carolina at Charlotte,1,Main Campus,20772,2,3,0
11,2005,199148,University of North Carolina at Greensboro,1,Main Campus,16147,0,23,17
12,2005,199281,University of North Carolina at Pembroke,1,Main Campus,5632,2,2,6
13,2005,199184,University of North Carolina School of the Arts,1,Main Campus,829,0,0,0
14,2005,199218,University of North Carolina Wilmington,1,Main Campus,11839,0,0,3
15,2005,200004,Western Carolina University,1,Main Campus,8665,2,35,38
16,2005,199999,Winston-Salem State University,1,WSSU Main Campus,5566,1,2,1
17,2006,197869,Appalachian State University,1,Main Campus,15117,1,22,33
18,2006,198464,East Carolina University,1,East Carolina University,24351,3,26,21
19,2006,198507,Elizabeth City State University,1,Elizabeth City State University,2681,5,19,9
20,2006,198543,Fayetteville State University,1,Fayetteville State University,6301,0,0,0
21,2006,199102,North Carolina A & T State University,1,North Carolina A&T State University,11098,8,28,3
22,2006,199157,North Carolina Central University,1,North Carolina Central University,8675,0,6,0
23,2006,199193,North Carolina State University at Raleigh,1,Main Campus,31130,0,1,2
24,2006,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3639,0,13,41
25,2006,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27717,2,18,16
26,2006,199139,University of North Carolina at Charlotte,1,Main Campus,21519,1,2,1
27,2006,199148,University of North Carolina at Greensboro,1,Main Campus,16872,2,26,35
28,2006,199281,University of North Carolina at Pembroke,1,Main Campus,5827,2,4,5
29,2006,199184,University of North Carolina School of the Arts,1,Main Campus,845,0,0,0
30,2006,199218,University of North Carolina Wilmington,1,Main Campus,12098,0,3,6
31,2006,200004,Western Carolina University,1,Main Campus,8861,2,15,31
32,2006,199999,Winston-Salem State University,1,WSSU Main Campus,5650,1,1,0
33,2007,197869,Appalachian State University,1,Main Campus,15871,1,58,57
34,2007,198464,East Carolina University,1,East Carolina University,25990,2,25,46
35,2007,198507,Elizabeth City State University,1,Elizabeth City State University,3061,3,6,2
36,2007,198543,Fayetteville State University,1,Fayetteville State University,6692,0,0,0
37,2007,199102,North Carolina A & T State University,1,North Carolina A&T State University,10498,0,4,6
38,2007,199157,North Carolina Central University,1,North Carolina Central University,8383,2,5,0
39,2007,199193,North Carolina State University at Raleigh,1,Main Campus,31802,10,19,58
40,2007,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3701,1,13,22
41,2007,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28136,0,9,17
42,2007,199139,University of North Carolina at Charlotte,1,Main Campus,22388,7,5,1
43,2007,199148,University of North Carolina at Greensboro,1,Main Campus,18627,3,49,43
44,2007,199281,University of North Carolina at Pembroke,1,Main Campus,5937,3,9,11
45,2007,199184,University of North Carolina School of the Arts,1,Main Campus,867,1,1,0
46,2007,199218,University of North Carolina Wilmington,1,Main Campus,12180,1,3,4
47,2007,200004,Western Carolina University,1,Main Campus,9056,5,21,48
48,2007,199999,Winston-Salem State University,1,WSSU Main Campus,5870,5,12,5
49,2008,197869,Appalachian State University,1,Main Campus,16610,0,66,68
50,2008,198464,East Carolina University,1,East Carolina University,27677,1,29,57
51,2008,198507,Elizabeth City State University,1,Elizabeth City State University,3104,5,2,0
52,2008,198543,Fayetteville State University,1,Fayetteville State University,6217,0,0,0
53,2008,199102,North Carolina A & T State University,1,North Carolina A&T State University,10388,2,11,2
54,2008,199157,North Carolina Central University,1,North Carolina Central University,8035,2,17,6
55,2008,199193,North Carolina State University at Raleigh,1,Main Campus,32872,0,18,11
56,2008,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3629,0,3,4
57,2008,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28567,1,21,40
58,2008,199139,University of North Carolina at Charlotte,1,Main Campus,23300,1,6,1
