Arrests - Public Property
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2005,197869,Appalachian State University,1,Main Campus,14653,0,1,16
2005,198464,East Carolina University,1,East Carolina University,23164,10,46,33
2005,198464,East Carolina University,2,East Carolina University Brody School of Medicine,23164,3,13,4
2005,198507,Elizabeth City State University,1,Elizabeth City State University,2664,0,0,0
2005,198543,Fayetteville State University,1,Fayetteville State University,6072,0,0,0
2005,199102,North Carolina A & T State University,1,North Carolina A&T State University,11103,15,75,3
2005,199157,North Carolina Central University,1,North Carolina Central University,8219,2,1,0
2005,199193,North Carolina State University at Raleigh,1,Main Campus,30148,0,0,0
2005,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3499,1,3,2
2005,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27276,4,29,42
2005,199139,University of North Carolina at Charlotte,1,Main Campus,20772,1,18,0
2005,199148,University of North Carolina at Greensboro,1,Main Campus,16147,8,37,51
2005,199281,University of North Carolina at Pembroke,1,Main Campus,5632,0,3,0
2005,199184,University of North Carolina School of the Arts,1,Main Campus,829,0,4,0
2005,199218,University of North Carolina Wilmington,1,Main Campus,11839,0,0,0
2005,200004,Western Carolina University,1,Main Campus,8665,0,7,4
2005,199999,Winston-Salem State University,1,WSSU Main Campus,5566,8,48,9
2006,197869,Appalachian State University,1,Main Campus,15117,0,3,12
2006,198464,East Carolina University,1,East Carolina University,24351,3,5,15
2006,198464,East Carolina University,2,East Carolina University Brody School of Medicine,24351,3,11,5
2006,198507,Elizabeth City State University,1,Elizabeth City State University,2681,0,0,0
2006,198543,Fayetteville State University,1,Fayetteville State University,6301,0,0,0
2006,199102,North Carolina A & T State University,1,North Carolina A&T State University,11098,0,0,0
2006,199157,North Carolina Central University,1,North Carolina Central University,8675,12,23,10
2006,199193,North Carolina State University at Raleigh,1,Main Campus,31130,0,0,0
2006,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3639,0,2,5
2006,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27717,0,24,2
2006,199139,University of North Carolina at Charlotte,1,Main Campus,21519,2,2,0
2006,199148,University of North Carolina at Greensboro,1,Main Campus,16872,2,94,54
2006,199281,University of North Carolina at Pembroke,1,Main Campus,5827,0,1,0
2006,199184,University of North Carolina School of the Arts,1,Main Campus,845,0,1,1
2006,199218,University of North Carolina Wilmington,1,Main Campus,12098,0,0,0
2006,200004,Western Carolina University,1,Main Campus,8861,1,19,12
2006,199999,Winston-Salem State University,1,WSSU Main Campus,5650,0,0,0
