ID,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Sex offenses - Non-forcible,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Total Offenses
1,2005,197869,Appalachian State University,1,Main Campus,14653,0,0,7,0,0,0,12,2,2,23
2,2005,198464,East Carolina University,1,East Carolina University,23164,0,0,2,0,0,2,34,0,2,40
3,2005,198464,East Carolina University,2,East Carolina University Brody School of Medicine,23164,0,0,0,0,0,0,4,0,0,4
4,2005,198507,Elizabeth City State University,1,Elizabeth City State University,2664,0,0,0,0,1,2,51,3,0,57
5,2005,198543,Fayetteville State University,1,Fayetteville State University,6072,0,0,0,0,0,1,1,4,0,6
6,2005,199102,North Carolina A & T State University,1,North Carolina A&T State University,11103,0,0,3,0,11,11,51,4,3,83
7,2005,199157,North Carolina Central University,1,North Carolina Central University,8219,0,0,1,0,4,7,28,8,1,49
8,2005,199193,North Carolina State University at Raleigh,1,Main Campus,30148,0,0,6,0,5,4,102,7,1,125
9,2005,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3499,0,0,0,0,0,0,5,1,2,8
10,2005,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27276,0,0,12,1,3,5,41,4,0,66
11,2005,199139,University of North Carolina at Charlotte,1,Main Campus,20772,0,0,4,0,4,7,39,19,1,74
12,2005,199148,University of North Carolina at Greensboro,1,Main Campus,16147,0,0,1,0,3,2,42,5,1,54
13,2005,199281,University of North Carolina at Pembroke,1,Main Campus,5632,0,0,0,0,2,1,12,3,0,18
14,2005,199184,University of North Carolina School of the Arts,1,Main Campus,829,0,0,0,0,0,0,25,0,0,25
15,2005,199218,University of North Carolina Wilmington,1,Main Campus,11839,0,0,7,0,1,1,38,1,0,48
16,2005,200004,Western Carolina University,1,Main Campus,8665,0,0,2,0,0,13,17,0,3,35
17,2005,199999,Winston-Salem State University,1,WSSU Main Campus,5566,0,0,1,0,0,1,5,4,0,11
18,2006,197869,Appalachian State University,1,Main Campus,15117,0,0,2,0,0,2,24,8,9,45
19,2006,198464,East Carolina University,1,East Carolina University,24351,0,0,5,0,3,5,43,2,2,60
20,2006,198464,East Carolina University,2,East Carolina University Brody School of Medicine,24351,0,0,0,0,0,1,6,1,0,8
21,2006,198507,Elizabeth City State University,1,Elizabeth City State University,2681,0,0,0,0,1,8,7,3,0,19
22,2006,198543,Fayetteville State University,1,Fayetteville State University,6301,0,0,1,0,0,1,3,9,0,14
23,2006,199102,North Carolina A & T State University,1,North Carolina A&T State University,11098,0,0,0,0,8,17,21,11,1,58
24,2006,199157,North Carolina Central University,1,North Carolina Central University,8675,0,0,4,0,10,8,72,7,0,101
25,2006,199193,North Carolina State University at Raleigh,1,Main Campus,31130,0,0,3,0,3,7,103,9,1,126
26,2006,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3639,0,0,0,0,0,1,13,0,0,14
27,2006,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27717,0,0,12,0,2,16,29,2,1,62
28,2006,199139,University of North Carolina at Charlotte,1,Main Campus,21519,0,0,0,0,3,4,37,10,3,57
29,2006,199148,University of North Carolina at Greensboro,1,Main Campus,16872,0,0,4,0,2,3,38,6,1,54
30,2006,199281,University of North Carolina at Pembroke,1,Main Campus,5827,0,0,0,0,0,0,15,1,0,16
31,2006,199184,University of North Carolina School of the Arts,1,Main Campus,845,0,0,1,0,1,0,12,0,0,14
32,2006,199218,University of North Carolina Wilmington,1,Main Campus,12098,0,0,3,0,1,1,37,7,3,52
33,2006,200004,Western Carolina University,1,Main Campus,8861,0,0,5,0,0,5,9,4,2,25
