,Criminal Offenses - Public Property,,,,,,,,,,,,,,,
ID,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Sex offenses - Non-forcible,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Total Offenses
1,2005,197869,Appalachian State University,1,Main Campus,14653,0,0,0,0,0,0,0,0,0,0
2,2005,198464,East Carolina University,1,East Carolina University,23164,0,0,0,0,7,2,0,6,0,15
3,2005,198464,East Carolina University,2,East Carolina University Brody School of Medicine,23164,0,0,0,0,2,2,0,4,0,8
4,2005,198507,Elizabeth City State University,1,Elizabeth City State University,2664,0,0,0,0,0,0,0,0,0,0
5,2005,198543,Fayetteville State University,1,Fayetteville State University,6072,0,0,0,0,0,0,0,0,0,0
6,2005,199102,North Carolina A & T State University,1,North Carolina A&T State University,11103,0,0,0,0,0,0,0,0,0,0
7,2005,199157,North Carolina Central University,1,North Carolina Central University,8219,0,0,0,0,2,1,0,4,0,7
8,2005,199193,North Carolina State University at Raleigh,1,Main Campus,30148,0,0,0,0,0,0,0,0,0,0
9,2005,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3499,0,0,0,0,1,1,2,2,0,6
10,2005,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27276,0,0,3,0,3,6,10,4,0,26
11,2005,199139,University of North Carolina at Charlotte,1,Main Campus,20772,0,0,2,0,6,3,7,1,0,19
12,2005,199148,University of North Carolina at Greensboro,1,Main Campus,16147,0,0,0,0,0,0,0,5,0,5
13,2005,199281,University of North Carolina at Pembroke,1,Main Campus,5632,0,0,1,0,0,9,9,0,0,19
14,2005,199184,University of North Carolina School of the Arts,1,Main Campus,829,0,0,0,0,2,2,0,3,0,7
15,2005,199218,University of North Carolina Wilmington,1,Main Campus,11839,0,0,0,0,0,0,0,0,0,0
16,2005,200004,Western Carolina University,1,Main Campus,8665,0,0,0,0,0,0,0,0,0,0
17,2005,199999,Winston-Salem State University,1,WSSU Main Campus,5566,0,0,3,0,5,8,11,8,0,35
18,2006,197869,Appalachian State University,1,Main Campus,15117,0,0,1,0,0,3,0,2,0,6
19,2006,198464,East Carolina University,1,East Carolina University,24351,0,0,1,0,7,2,0,1,0,11
20,2006,198464,East Carolina University,2,East Carolina University Brody School of Medicine,24351,0,0,1,0,7,5,0,3,0,16
21,2006,198507,Elizabeth City State University,1,Elizabeth City State University,2681,0,0,0,0,0,0,0,0,0,0
22,2006,198543,Fayetteville State University,1,Fayetteville State University,6301,0,0,0,0,0,0,0,0,0,0
23,2006,199102,North Carolina A & T State University,1,North Carolina A&T State University,11098,0,0,0,0,0,0,0,0,0,0
24,2006,199157,North Carolina Central University,1,North Carolina Central University,8675,0,0,0,0,7,0,0,7,0,14
25,2006,199193,North Carolina State University at Raleigh,1,Main Campus,31130,0,0,0,0,0,0,0,0,0,0
26,2006,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3639,0,0,1,0,0,2,1,1,0,5
27,2006,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27717,0,0,0,0,3,0,0,3,0,6
28,2006,199139,University of North Carolina at Charlotte,1,Main Campus,21519,0,0,0,0,0,0,0,0,0,0
29,2006,199148,University of North Carolina at Greensboro,1,Main Campus,16872,0,0,0,0,3,1,0,2,0,6
30,2006,199281,University of North Carolina at Pembroke,1,Main Campus,5827,0,0,0,0,0,0,0,1,0,1
31,2006,199184,University of North Carolina School of the Arts,1,Main Campus,845,0,0,0,0,2,0,0,1,0,3
32,2006,199218,University of North Carolina Wilmington,1,Main Campus,12098,0,0,0,0,0,0,0,0,0,0
33,2006,200004,Western Carolina University,1,Main Campus,8861,0,0,0,0,0,0,0,1,0,1
34,2006,199999,Winston-Salem State University,1,WSSU Main Campus,5650,0,0,0,0,0,0,0,0,0,0
35,2007,197869,Appalachian State University,1,Main Campus,15871,0,0,0,0,0,1,0,1,0,2
36,2007,198464,East Carolina University,1,East Carolina University,25990,0,0,1,0,3,3,0,3,0,10
37,2007,198464,East Carolina University,2,East Carolina University Brody School of Medicine,25990,0,0,0,0,0,0,0,0,0,0
38,2007,198507,Elizabeth City State University,1,Elizabeth City State University,3061,0,0,0,0,0,0,0,0,0,0
39,2007,198543,Fayetteville State University,1,Fayetteville State University,6692,0,0,0,0,0,0,0,0,0,0
40,2007,199102,North Carolina A & T State University,1,North Carolina A&T State University,10498,0,0,0,0,0,0,0,0,0,0
41,2007,199157,North Carolina Central University,1,North Carolina Central University,8383,0,0,0,0,0,0,0,2,0,2
42,2007,199193,North Carolina State University at Raleigh,1,Main Campus,31802,0,0,0,0,0,0,0,0,0,0
43,2007,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3701,0,0,0,0,0,0,0,1,0,1
44,2007,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28136,0,0,0,0,2,1,0,2,0,5
45,2007,199139,University of North Carolina at Charlotte,1,Main Campus,22388,0,0,0,0,0,0,0,0,0,0
46,2007,199148,University of North Carolina at Greensboro,1,Main Campus,18627,0,0,0,0,1,0,0,1,0,2
47,2007,199281,University of North Carolina at Pembroke,1,Main Campus,5937,0,0,0,0,0,0,0,1,0,1
48,2007,199184,University of North Carolina School of the Arts,1,Main Campus,867,0,0,0,0,1,0,0,1,0,2
49,2007,199218,University of North Carolina Wilmington,1,Main Campus,12180,0,0,0,0,0,0,0,0,0,0
50,2007,200004,Western Carolina University,1,Main Campus,9056,0,0,0,0,0,0,0,0,0,0
51,2007,199999,Winston-Salem State University,1,WSSU Main Campus,5870,0,0,0,0,0,0,0,0,0,0
52,2008,197869,Appalachian State University,1,Main Campus,16610,0,0,1,0,0,1,0,0,0,2
53,2008,198464,East Carolina University,1,East Carolina University,27677,0,0,0,0,6,3,0,5,0,14
54,2008,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27677,0,0,0,0,0,0,0,0,0,0
55,2008,198507,Elizabeth City State University,1,Elizabeth City State University,3104,0,0,0,0,0,0,0,0,0,0
56,2008,198543,Fayetteville State University,1,Fayetteville State University,6217,0,0,0,0,0,0,0,0,0,0
57,2008,199102,North Carolina A & T State University,1,North Carolina A&T State University,10388,0,0,0,0,0,0,0,0,0,0
