Disciplinary Actions - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2005,197869,Appalachian State University,1,Main Campus,14653,14,157,607
2005,198464,East Carolina University,1,East Carolina University,23164,6,67,413
2005,198464,East Carolina University,2,East Carolina University Brody School of Medicine,23164,0,0,0
2005,198507,Elizabeth City State University,1,Elizabeth City State University,2664,1,20,20
2005,198543,Fayetteville State University,1,Fayetteville State University,6072,2,9,3
2005,199102,North Carolina A & T State University,1,North Carolina A&T State University,11103,7,18,5
2005,199157,North Carolina Central University,1,North Carolina Central University,8219,3,47,36
2005,199193,North Carolina State University at Raleigh,1,Main Campus,30148,8,41,421
2005,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3499,1,21,126
2005,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27276,1,8,270
2005,199139,University of North Carolina at Charlotte,1,Main Campus,20772,14,138,567
2005,199148,University of North Carolina at Greensboro,1,Main Campus,16147,1,8,50
2005,199281,University of North Carolina at Pembroke,1,Main Campus,5632,4,46,59
2005,199184,University of North Carolina School of the Arts,1,Main Campus,829,0,15,42
2005,199218,University of North Carolina Wilmington,1,Main Campus,11839,8,51,416
2005,200004,Western Carolina University,1,Main Campus,8665,26,154,391
2005,199999,Winston-Salem State University,1,WSSU Main Campus,5566,8,31,25
2006,197869,Appalachian State University,1,Main Campus,15117,19,144,515
2006,198464,East Carolina University,1,East Carolina University,24351,5,35,475
2006,198464,East Carolina University,2,East Carolina University Brody School of Medicine,24351,0,0,0
2006,198507,Elizabeth City State University,1,Elizabeth City State University,2681,0,11,4
2006,198543,Fayetteville State University,1,Fayetteville State University,6301,2,9,15
2006,199102,North Carolina A & T State University,1,North Carolina A&T State University,11098,5,28,7
2006,199157,North Carolina Central University,1,North Carolina Central University,8675,9,51,49
2006,199193,North Carolina State University at Raleigh,1,Main Campus,31130,7,76,662
2006,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3639,3,59,90
2006,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27717,0,0,216
2006,199139,University of North Carolina at Charlotte,1,Main Campus,21519,13,90,557
2006,199148,University of North Carolina at Greensboro,1,Main Campus,16872,1,11,146
2006,199281,University of North Carolina at Pembroke,1,Main Campus,5827,6,42,89
2006,199184,University of North Carolina School of the Arts,1,Main Campus,845,0,2,20
2006,199218,University of North Carolina Wilmington,1,Main Campus,12098,0,48,557
2006,200004,Western Carolina University,1,Main Campus,8861,24,145,502
2006,199999,Winston-Salem State University,1,WSSU Main Campus,5650,12,40,32
2007,197869,Appalachian State University,1,Main Campus,15871,9,32,297
2007,198464,East Carolina University,1,East Carolina University,25990,7,44,571
2007,198464,East Carolina University,2,East Carolina University Brody School of Medicine,25990,0,0,0
2007,198507,Elizabeth City State University,1,Elizabeth City State University,3061,2,16,2
2007,198543,Fayetteville State University,1,Fayetteville State University,6692,6,11,12
2007,199102,North Carolina A & T State University,1,North Carolina A&T State University,10498,8,37,36
2007,199157,North Carolina Central University,1,North Carolina Central University,8383,2,45,27
2007,199193,North Carolina State University at Raleigh,1,Main Campus,31802,13,74,426
2007,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3701,0,36,92
2007,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28136,0,1,202
2007,199139,University of North Carolina at Charlotte,1,Main Campus,22388,9,64,492
2007,199148,University of North Carolina at Greensboro,1,Main Campus,18627,1,2,97
2007,199281,University of North Carolina at Pembroke,1,Main Campus,5937,14,42,132
2007,199184,University of North Carolina School of the Arts,1,Main Campus,867,0,15,19
2007,199218,University of North Carolina Wilmington,1,Main Campus,12180,1,49,642
2007,200004,Western Carolina University,1,Main Campus,9056,19,106,381
2007,199999,Winston-Salem State University,1,WSSU Main Campus,5870,3,18,20
2008,197869,Appalachian State University,1,Main Campus,16610,2,32,223
2008,198464,East Carolina University,1,East Carolina University,27677,12,65,444
2008,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27677,0,0,0
2008,198507,Elizabeth City State University,1,Elizabeth City State University,3104,0,15,7
2008,198543,Fayetteville State University,1,Fayetteville State University,6217,6,13,3
2008,199102,North Carolina A & T State University,1,North Carolina A&T State University,10388,1,5,4
2008,199157,North Carolina Central University,1,North Carolina Central University,8035,6,85,33
2008,199193,North Carolina State University at Raleigh,1,Main Campus,32872,6,57,349
2008,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3629,2,39,75
2008,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28567,0,7,294
2008,199139,University of North Carolina at Charlotte,1,Main Campus,23300,17,89,498
2008,199148,University of North Carolina at Greensboro,1,Main Campus,19976,0,6,100
2008,199281,University of North Carolina at Pembroke,1,Main Campus,6303,14,36,91
2008,199184,University of North Carolina School of the Arts,1,Main Campus,879,2,19,23
2008,199218,University of North Carolina Wilmington,1,Main Campus,12643,1,73,452
2008,200004,Western Carolina University,1,Main Campus,9050,4,73,200
2008,199999,Winston-Salem State University,1,WSSU Main Campus,6442,2,35,11
2009,197869,Appalachian State University,1,Main Campus,16968,9,48,201
2009,198464,East Carolina University,1,East Carolina University,27654,9,114,416
2009,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27654,0,0,0
2009,198507,Elizabeth City State University,1,Elizabeth City State University,3264,1,21,14
2009,198543,Fayetteville State University,1,Fayetteville State University,6283,2,18,12
2009,199102,North Carolina A & T State University,1,North Carolina A&T State University,10614,0,5,2
2009,199157,North Carolina Central University,1,North Carolina Central University,8587,10,21,35
2009,199193,North Carolina State University at Raleigh,1,Main Campus,33819,3,53,230
2009,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3897,2,43,65
2009,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28916,0,9,467
2009,199139,University of North Carolina at Charlotte,1,Main Campus,24701,17,211,678
2009,199148,University of North Carolina at Greensboro,1,Main Campus,21306,2,1,94
2009,199281,University of North Carolina at Pembroke,1,Main Campus,6661,6,28,66
