Disciplinary Actions - Public Property
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2005,197869,Appalachian State University,1,Main Campus,14653,0,0,0
2005,198464,East Carolina University,1,East Carolina University,23164,1,1,16
2005,198464,East Carolina University,2,East Carolina University Brody School of Medicine,23164,0,0,0
2005,198507,Elizabeth City State University,1,Elizabeth City State University,2664,0,0,0
2005,198543,Fayetteville State University,1,Fayetteville State University,6072,0,0,0
2005,199102,North Carolina A & T State University,1,North Carolina A&T State University,11103,0,0,0
2005,199157,North Carolina Central University,1,North Carolina Central University,8219,1,0,0
2005,199193,North Carolina State University at Raleigh,1,Main Campus,30148,0,0,0
2005,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3499,0,0,0
2005,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27276,0,0,0
2005,199139,University of North Carolina at Charlotte,1,Main Campus,20772,0,0,0
2005,199148,University of North Carolina at Greensboro,1,Main Campus,16147,0,0,0
2005,199281,University of North Carolina at Pembroke,1,Main Campus,5632,0,3,0
2005,199184,University of North Carolina School of the Arts,1,Main Campus,829,0,2,8
2005,199218,University of North Carolina Wilmington,1,Main Campus,11839,0,0,0
2005,200004,Western Carolina University,1,Main Campus,8665,0,2,2
2005,199999,Winston-Salem State University,1,WSSU Main Campus,5566,0,0,0
2006,197869,Appalachian State University,1,Main Campus,15117,0,0,2
2006,198464,East Carolina University,1,East Carolina University,24351,1,1,14
2006,198464,East Carolina University,2,East Carolina University Brody School of Medicine,24351,0,0,0
2006,198507,Elizabeth City State University,1,Elizabeth City State University,2681,0,0,0
2006,198543,Fayetteville State University,1,Fayetteville State University,6301,0,0,0
2006,199102,North Carolina A & T State University,1,North Carolina A&T State University,11098,0,0,0
2006,199157,North Carolina Central University,1,North Carolina Central University,8675,5,11,6
2006,199193,North Carolina State University at Raleigh,1,Main Campus,31130,0,0,0
2006,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3639,0,0,1
2006,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27717,0,0,0
2006,199139,University of North Carolina at Charlotte,1,Main Campus,21519,0,0,0
2006,199148,University of North Carolina at Greensboro,1,Main Campus,16872,0,0,2
2006,199281,University of North Carolina at Pembroke,1,Main Campus,5827,0,1,0
2006,199184,University of North Carolina School of the Arts,1,Main Campus,845,0,0,1
2006,199218,University of North Carolina Wilmington,1,Main Campus,12098,0,0,0
2006,200004,Western Carolina University,1,Main Campus,8861,2,13,14
2006,199999,Winston-Salem State University,1,WSSU Main Campus,5650,0,0,0
2007,197869,Appalachian State University,1,Main Campus,15871,0,0,0
2007,198464,East Carolina University,1,East Carolina University,25990,0,7,14
2007,198464,East Carolina University,2,East Carolina University Brody School of Medicine,25990,0,0,0
2007,198507,Elizabeth City State University,1,Elizabeth City State University,3061,0,0,0
2007,198543,Fayetteville State University,1,Fayetteville State University,6692,0,0,0
2007,199102,North Carolina A & T State University,1,North Carolina A&T State University,10498,0,0,0
2007,199157,North Carolina Central University,1,North Carolina Central University,8383,0,0,0
2007,199193,North Carolina State University at Raleigh,1,Main Campus,31802,0,0,0
2007,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3701,0,0,0
2007,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28136,0,0,0
2007,199139,University of North Carolina at Charlotte,1,Main Campus,22388,1,1,12
2007,199148,University of North Carolina at Greensboro,1,Main Campus,18627,0,0,0
2007,199281,University of North Carolina at Pembroke,1,Main Campus,5937,0,1,3
2007,199184,University of North Carolina School of the Arts,1,Main Campus,867,0,0,0
2007,199218,University of North Carolina Wilmington,1,Main Campus,12180,0,0,0
2007,200004,Western Carolina University,1,Main Campus,9056,0,1,9
2007,199999,Winston-Salem State University,1,WSSU Main Campus,5870,0,0,0
2008,197869,Appalachian State University,1,Main Campus,16610,0,0,0
2008,198464,East Carolina University,1,East Carolina University,27677,0,0,7
2008,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27677,0,0,0
2008,198507,Elizabeth City State University,1,Elizabeth City State University,3104,0,0,0
2008,198543,Fayetteville State University,1,Fayetteville State University,6217,0,0,0
2008,199102,North Carolina A & T State University,1,North Carolina A&T State University,10388,0,0,0
2008,199157,North Carolina Central University,1,North Carolina Central University,8035,2,4,0
2008,199193,North Carolina State University at Raleigh,1,Main Campus,32872,0,0,0
2008,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3629,0,0,0
2008,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28567,0,0,0
2008,199139,University of North Carolina at Charlotte,1,Main Campus,23300,0,0,0
2008,199148,University of North Carolina at Greensboro,1,Main Campus,19976,0,0,0
2008,199281,University of North Carolina at Pembroke,1,Main Campus,6303,0,0,0
2008,199184,University of North Carolina School of the Arts,1,Main Campus,879,0,0,0
2008,199218,University of North Carolina Wilmington,1,Main Campus,12643,0,0,0
2008,200004,Western Carolina University,1,Main Campus,9050,0,1,7
2008,199999,Winston-Salem State University,1,WSSU Main Campus,6442,0,0,0
2009,197869,Appalachian State University,1,Main Campus,16968,0,0,0
2009,198464,East Carolina University,1,East Carolina University,27654,0,4,0
2009,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27654,0,0,0
2009,198507,Elizabeth City State University,1,Elizabeth City State University,3264,0,0,0
2009,198543,Fayetteville State University,1,Fayetteville State University,6283,0,0,0
2009,199102,North Carolina A & T State University,1,North Carolina A&T State University,10614,0,0,0
2009,199157,North Carolina Central University,1,North Carolina Central University,8587,0,1,0
2009,199193,North Carolina State University at Raleigh,1,Main Campus,33819,0,0,0
2009,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3897,0,0,0
2009,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28916,0,0,0
2009,199139,University of North Carolina at Charlotte,1,Main Campus,24701,2,8,12
2009,199148,University of North Carolina at Greensboro,1,Main Campus,21306,0,0,0
2009,199281,University of North Carolina at Pembroke,1,Main Campus,6661,0,0,0
2009,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,0,0
2009,199218,University of North Carolina Wilmington,1,Main Campus,12924,0,0,0
2009,200004,Western Carolina University,1,Main Campus,9429,0,1,11
2009,199999,Winston-Salem State University,1,WSSU Main Campus,6427,0,0,0
2010,197869,Appalachian State University,1,Main Campus,17222,0,0,0
2010,197869,Appalachian State University,2,NCCET,17222,0,0,0
2010,197869,Appalachian State University,3,ASU Center at Hickory,17222,0,0,0
2010,197869,Appalachian State University,4,ASU Center at Caldwell,17222,0,0,0
2010,197869,Appalachian State University,5,ASU Center at Burke,17222,0,0,0
2010,198464,East Carolina University,1,East Carolina University,27783,0,0,1
2010,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27783,0,0,0
2010,198507,Elizabeth City State University,1,Elizabeth City State University,3307,0,0,0
2010,198543,Fayetteville State University,1,Fayetteville State University,5781,0,0,0
2010,199102,North Carolina A & T State University,1,North Carolina A&T State University,10795,0,0,0
2010,199157,North Carolina Central University,1,North Carolina Central University,8645,1,1,0
2010,199193,North Carolina State University at Raleigh,1,Main Campus,34376,0,0,0
2010,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3967,0,0,0
2010,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29390,0,0,0
2010,199139,University of North Carolina at Charlotte,1,Main Campus,25063,0,0,0
2010,199148,University of North Carolina at Greensboro,1,Main Campus,18771,0,0,0
2010,199281,University of North Carolina at Pembroke,1,Main Campus,6944,0,0,0
2010,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,0,0
2010,199218,University of North Carolina Wilmington,1,Main Campus,13071,0,0,0
2010,200004,Western Carolina University,1,Main Campus,9407,0,8,4
2010,199999,Winston-Salem State University,1,WSSU Main Campus,6333,0,0,0
2011,197869,Appalachian State University,1,Main Campus,17344,0,3,9
2011,197869,Appalachian State University,2,NCCET,17344,0,0,0
2011,197869,Appalachian State University,3,ASU Center at Hickory,17344,0,0,0
2011,197869,Appalachian State University,4,ASU Center at Caldwell,17344,0,0,0
2011,197869,Appalachian State University,5,ASU Center at Burke,17344,0,0,0
2011,198464,East Carolina University,1,East Carolina University,27386,0,0,1
2011,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27386,0,0,0
2011,198507,Elizabeth City State University,1,Elizabeth City State University,2930,0,0,0
2011,198543,Fayetteville State University,1,Fayetteville State University,5930,0,1,0
2011,199102,North Carolina A & T State University,1,North Carolina A&T State University,10881,0,6,1
2011,199157,North Carolina Central University,1,North Carolina Central University,8359,0,2,0
2011,199193,North Carolina State University at Raleigh,1,Main Campus,34767,1,12,33
2011,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3863,0,0,0
2011,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29137,0,0,0
