Disciplinary Actions - On-campus Student Housing Facilities
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2008,197869,Appalachian State University,1,Main Campus,16610,1,20,204
2008,198464,East Carolina University,1,East Carolina University,27677,12,56,412
2008,198507,Elizabeth City State University,1,Elizabeth City State University,3104,0,15,7
2008,198543,Fayetteville State University,1,Fayetteville State University,6217,1,12,3
2008,199102,North Carolina A & T State University,1,North Carolina A&T State University,10388,1,3,3
2008,199157,North Carolina Central University,1,North Carolina Central University,8035,1,24,17
2008,199193,North Carolina State University at Raleigh,1,Main Campus,32872,5,26,110
2008,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3629,0,27,31
2008,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28567,0,7,294
2008,199139,University of North Carolina at Charlotte,1,Main Campus,23300,16,89,496
2008,199148,University of North Carolina at Greensboro,1,Main Campus,19976,0,2,100
2008,199281,University of North Carolina at Pembroke,1,Main Campus,6303,14,36,91
2008,199184,University of North Carolina School of the Arts,1,Main Campus,879,2,19,23
2008,199218,University of North Carolina Wilmington,1,Main Campus,12643,0,56,380
2008,200004,Western Carolina University,1,Main Campus,9050,1,62,148
2008,199999,Winston-Salem State University,1,WSSU Main Campus,6442,0,32,10
2009,197869,Appalachian State University,1,Main Campus,16968,9,30,153
2009,198464,East Carolina University,1,East Carolina University,27654,9,101,412
2009,198507,Elizabeth City State University,1,Elizabeth City State University,3264,1,21,14
2009,198543,Fayetteville State University,1,Fayetteville State University,6283,1,17,9
2009,199102,North Carolina A & T State University,1,North Carolina A&T State University,10614,0,5,2
2009,199157,North Carolina Central University,1,North Carolina Central University,8587,4,3,22
2009,199193,North Carolina State University at Raleigh,1,Main Campus,33819,2,30,88
2009,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3897,2,20,39
2009,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28916,0,9,457
2009,199139,University of North Carolina at Charlotte,1,Main Campus,24701,12,164,522
2009,199148,University of North Carolina at Greensboro,1,Main Campus,21306,2,1,93
2009,199281,University of North Carolina at Pembroke,1,Main Campus,6661,6,28,66
2009,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,4,2
2009,199218,University of North Carolina Wilmington,1,Main Campus,12924,5,88,594
2009,200004,Western Carolina University,1,Main Campus,9429,0,32,106
2009,199999,Winston-Salem State University,1,WSSU Main Campus,6427,3,10,5
2010,197869,Appalachian State University,1,Main Campus,17222,6,81,320
2010,198464,East Carolina University,1,East Carolina University,27783,17,90,632
2010,198507,Elizabeth City State University,1,Elizabeth City State University,3307,3,14,26
2010,198543,Fayetteville State University,1,Fayetteville State University,5781,13,11,20
2010,199102,North Carolina A & T State University,1,North Carolina A&T State University,10795,1,2,7
2010,199157,North Carolina Central University,1,North Carolina Central University,8645,1,4,25
2010,199193,North Carolina State University at Raleigh,1,Main Campus,34376,1,58,65
2010,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3967,0,36,54
2010,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29390,0,3,317
2010,199139,University of North Carolina at Charlotte,1,Main Campus,25063,4,125,388
2010,199148,University of North Carolina at Greensboro,1,Main Campus,18771,0,11,80
2010,199281,University of North Carolina at Pembroke,1,Main Campus,6944,2,19,39
2010,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,16,4
2010,199218,University of North Carolina Wilmington,1,Main Campus,13071,8,130,501
2010,200004,Western Carolina University,1,Main Campus,9407,3,69,196
2010,199999,Winston-Salem State University,1,WSSU Main Campus,6333,9,94,17
2011,197869,Appalachian State University,1,Main Campus,17344,4,100,462
2011,198464,East Carolina University,1,East Carolina University,27386,13,134,661
2011,198507,Elizabeth City State University,1,Elizabeth City State University,2930,1,11,11
2011,198543,Fayetteville State University,1,Fayetteville State University,5930,3,21,13
2011,199102,North Carolina A & T State University,1,North Carolina A&T State University,10881,5,25,2
2011,199157,North Carolina Central University,1,North Carolina Central University,8359,1,40,14
2011,199193,North Carolina State University at Raleigh,1,Main Campus,34767,3,79,405
2011,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3863,0,28,62
